id;name;price;description;specification;photolink
1;Canapé conv d'angle avec rangement;429;A la fois canapé méridienne et lit pour deux;Couleur gris Taille 230x151;1.png
2;Desserte roulante;39;La tablette vous permet de ranger des magazines par exemple et de libérer de la place sur le plateau de table;Couleur blanc Taille 64x64 cm;2.png
3;Caisson à tiroirs sur roulettes;45;Chaque tiroir comporte une fente pour étiquette, ce qui vous permet de mieux organiser le contenu et de trouver facilement ce que vous cherchez;Couleur bleu Taille 28x69 cm;3.png
4;Chaise à accoudoirs;59;Chaise constituée d'une seule pièce, ne requiert ni montage ni vissage;Couleur vert Dimensions 55x51x83;4.png
5;Bureau plaqué chêne blanchi;169;Finition soignée à l'arrière du meuble permet de le placer au milieu de la pièce;Couleur blanc Taille 140x65 cm;5.png
6;Étagère;119;De style rustique, cette étagère en métal et bois massif rend chaque meuble unique;Couleur noir Taille Taille 100x136 cm;6.png
7;Fauteuil;149;Le coussin du dossier est réversible (deux surfaces d'usure) et vous offre un soutien moelleux;Couleur rouge foncé Dimensions 71x73x73 cm;7.png
8;Fauteuil;249;Recouvert d'un tissu en velours doux et résistant, tissé avec du polyester;Couleur gris foncé Dimensions 62x72x75 cm;8.png
9;Bibliothèque;39.30; Un seul élément peut servir de rangement dans un espace retreint, ou servir de base pour une solution de rangement plus importante lorsque les besoins évoluent;Couleur blanc Taille 80x28x202 cm;9.png
10;Banc TV;9.95;Un banc TV posé au sol doit être fixé au mur à l'aide de l'accessoire de fixation inclus;Couleur noir Taille 90x26x45 cm;10.png
11;Module siège;200;Peut s'utiliser seul ou se combiner pour créer un canapé de la taille dont vous souhaitez et qui vous correspond;Couleur blanc Taille 84x42x103 cm;11.png
12;Desserte roulante;39;La tablette vous permet de ranger des magazines par exemple et de libérer de la place sur le plateau de table;Couleur blanc Taille 64x64 cm;12.png
13;Lampadaire;49.90;Idéal au dessus d'une table basse. Se branche sur une prise murale;Couleur noir;13.png
14;Élt bas 2 faces/3 tiroirs;158;Amortisseurs intégrés pour une fermeture des portes en douceur et en silence;Couleur noir;14.png
15;Armoire métallique;58;Passe-câbles en dessous du meuble. Portes verrouillables;Couleur blanc;15.png
